"Sector","Year","Name","Andhra.Pradesh","Assam","Chattisgarh","Goa","Gujarat","Haryana","Himachal.Pradesh","Jharkhand","Karnataka","Kerala","Madhya.Pradesh","Maharashtra","Manipur","Meghalaya","Mizoram","Orissa","Punjab","Tamil.Nadu","Tripura","Uttar.Pradesh","West.Bengal","Andaman.and.Nicobar","Chandigarh","Dadra.and.Nagar.Haveli","Daman.and.Diu","Jammu.and.Kashmir","Lakshadweep","Puducherry"
"Rural",2011,"January",104,104,105,103,104,104,"104",105,104,107,104,104,104,104,104,105,104,105,105,103,104,105,104,104,103,104,103,106
"Urban",2011,"January",103,103,104,103,104,104,"103",104,104,107,103,103,104,104,104,105,103,104,105,103,104,105,103,104,103,104,102,105
"Rural+Urban",2011,"January",103,104,104,103,104,104,"103",105,104,107,104,104,104,104,104,105,104,104,105,103,104,106,103,104,104,104,104,104
"Rural",2011,"February",107,105,107,105,106,106,"105",107,106,108,105,105,103,108,106,108,105,107,107,104,107,105,104,107,104,105,104,107
"Urban",2011,"February",106,106,106,105,107,107,"105",107,108,109,106,107,102,107,109,106,105,108,108,105,108,104,103,106,104,105,105,108
"Rural+Urban",2011,"February",105,105,105,104,105,106,"104",106,106,108,105,105,103,106,106,106,104,106,107,104,107,104,103,106,104,105,103,106
"Rural",2011,"March",103.1,103.8,103.9,103.9,105.4,105,"104.3",104.9,104.8,107.1,104.1,104.7,103.8,104.8,105.8,105,104.5,103.9,105,103.9,104.8,106.8,103.9,105.8,104.1,105.5,108.6,104.7
"Urban",2011,"March",103.6,104.6,104.3,104.3,106,105.5,"104.8",105.1,105.4,107.9,104.8,105.2,104.1,105.6,107.3,105.8,105.3,104.6,105.3,105.3,105.2,107.9,104.6,106.2,105.5,105.8,110.9,105.2
"Rural+Urban",2011,"March",108,105,108,106,108,107,"106",109,108,109,106,108,102,109,108,109,105,109,108,105,108,105,105,108,104,106,105,110
"Rural",2011,"April",105,106,105,104,106,106,"104",106,106,108,106,105,103,111,107,106,104,105,107,103,107,104,103,105,104,106,104,105
"Urban",2011,"April",104.9,107.1,105.4,105.4,107.1,107.3,"105",106.8,107,108.8,106.1,106,102.7,111.1,108.3,106.8,104.9,105.5,107.8,104.2,107.7,105.1,103.9,105.8,104.7,106.6,107.1,105.5
"Rural+Urban",2011,"April",106,106,106,106,108,108,"105",107,108,109,107,107,102,114,110,107,105,108,109,103,109,103,102,105,104,107,105,107
"Rural",2011,"May",106.1,107.9,106.2,107,109.2,108.7,"105.2",107.7,109.3,109.6,107.5,108.3,102.1,113.3,111.1,107.4,105.2,107.5,108.8,104.3,110,103.4,103.4,105.8,105,107.2,105.4,107.8
"Urban",2011,"May",105.88,108.58,106.04,105.65,108.22,107.83,"105.54",106.96,107.52,109.79,107,106.89,102.68,111.12,109.39,107.97,105.56,106.47,107.41,105.04,108.76,106.11,104.59,106.93,105.82,107.76,108.57,105.73
"Rural+Urban",2011,"May",108.6,111.4,107.3,109,112.4,110.7,"107",109,111,111.9,109.5,110.5,102.2,113.5,112.9,109.9,106.5,110.5,109.8,105.7,113.3,107,104.1,108,106.3,108.8,105.6,107.9
"Rural",2011,"June",107.4,109.5,106.9,107.1,110.9,109.2,"105.7",107.9,109.8,110.7,108.6,109.8,102,113,111.8,108.7,105.8,108.9,108.2,104.9,111.5,104.4,104.3,107.2,106,108.9,105.8,107.3
